gene	expr	reptime	hic
AFF4	13.43946929	0.28	66
AFG3L2	13.10693294	0.2	26
AFM	12.712589	0.59	3
AFMID	13.31332913	0.22	26
AFP	12.712589	0.61	3
AFTPH	13.18481034	0.37	21
AGA	10.71397323	0.73	-8
AGAP1	11.80642309	0.46	3
AGAP11	12.9036724	0.14	45
AGAP2	13.96466219	0.34	39
AGAP2-AS1	12.95011158	0.34	26.44
AGAP3	13.33193038	0.36	39
AGAP4	11.82231277	0.28	34
AGAP5	13.64164996	0.15	29.35
AGAP6	13.64164996	0.46	29.35
AGAP9	12.62667452	0	17.26
AGBL1	8.634798433	0.82	-56
AGBL2	13.79987902	0.18	23
AGBL3	12.6666296	0.53	17.52
AGBL4	9.710084826	0.82	-18
AGBL5	14.04424963	0.29	34
AGER	14.56691438	0.22	28
AGFG1	12.17621635	0.15	23
AGFG2	14.31696743	0.19	60
AGGF1	12.4728847	0.33	30
AGK	12.33621894	0.76	16
AGL	12.57661499	0.55	9
AGMAT	13.39521096	0.16	31
AGMO	9.79121431	0.84	-22
AGO1	13.78817019	0.27	12
AGO2	13.02015123	0.22	46
AGO3	13.78143554	0.28	25
AGO4	13.90978111	0.29	19
AGPAT1	14.56691438	0.21	28
AGPAT2	14.46694472	0.17	56
AGPAT3	13.64384878	0.18	67
AGPAT4	11.22515005	0.8	-5
AGPAT5	11.78243338	0.48	32
AGPS	12.84394229	0.31	26
AGR2	12.7983105	0.38	-7
AGR3	12.79506414	0.38	-15
AGRN	14.49429255	0.24	15
AGRP	13.89475233	0.15	49
AGT	12.95364172	0.57	6
AGTPBP1	12.33639013	0.54	9
AGTR1	12.51082199	0.78	-24
AGTRAP	13.3155919	0.26	36
AGXT	13.98707277	0.28	30
AGXT2	12.40491121	0.61	23
AHCTF1	12.95413642	0.35	4
AHCY	13.77683833	0.14	50
AHCYL1	13.40077511	0.2	29
AHCYL2	13.5627528	0.38	44
AHDC1	13.51170452	0.19	25
AHI1	11.932208	0.4	29
AHNAK	14.82576292	0.22	49
AHNAK2	13.65826359	0.2	30
AHR	12.82128531	0.41	2
AHRR	13.60351588	0.46	34
AHSA1	13.13141826	0.36	47
AHSG	13.13885858	0.44	45
AHSP	13.62489712	0.48	-17
AICDA	12.58410832	0.37	15
AIDA	12.31136016	0.39	1
AIF1	14.7386915	0.22	35
AIF1L	13.62846627	0.23	36
AIFM2	13.09134525	0.32	25
AIFM3	13.26611214	0.19	58
AIG1	12.60628733	0.64	13
AIM2	11.49247783	0.74	8
AIMP1	11.97599889	0.61	5
AIMP2	12.51083718	0.36	9.09
AIP	14.14640513	0.16	53
AIPL1	12.42829177	0.36	6
AIRE	13.95832263	0.22	65
AJAP1	8.647343876	0.79	4
AJUBA	14.03138052	0.18	38
AK1	14.06154295	0.18	51
AK2	13.60174292	0.23	27
AK3	12.5425806	0.61	-9
AK4	12.3539839	0.34	30
AK5	13.09128336	0.47	-8
AK7	12.70221601	0.53	14
AK8	14.47793767	0.58	33
AK9	12.7534915	0.54	21
AKAP1	12.93152001	0.24	-6
AKAP10	13.20919957	0.28	-11
AKAP11	12.11804439	0.41	51
AKAP12	12.73796187	0.41	11
AKAP13	12.34910749	0.3	17
AKAP3	12.5347575	0.65	18
AKAP6	11.75654593	0.46	-10
AKAP7	12.01811524	0.49	15
AKAP8	13.11189275	0.43	28
AKAP8L	13.14138335	0.48	30
AKAP9	13.42131471	0.56	16
AKIP1	13.2148204	0.23	21
AKIRIN1	13.43217918	0.32	30
AKIRIN2	12.37005201	0.39	33
AKNA	12.29419341	0.39	14
AKNAD1	13.59370736	0.19	8
AKR1A1	13.6806068	0.16	27
AKR1B1	12.70174707	0.42	9
AKR1B10	12.9081424	0.29	21
AKR1B15	12.9081424	0.29	21
AKR1C1	12.74801314	0.58	-13
AKR1C2	12.74801314	0.6	-13
AKR1C3	12.99217952	0.59	-14
AKR1C4	13.35363064	0.63	-21
AKR1D1	12.30289532	0.49	16
AKR1E2	12.56788885	0.56	-13
AKR7A2	13.60535973	0.45	40
AKR7A3	13.60535973	0.45	40
AKR7L	13.59152415	0.45	35
AKT1	13.47551291	0.21	36
AKT1S1	14.33027601	0.2	37
AKT2	13.82133158	0.34	30
AKT3	12.24975455	0.83	-4
AKTIP	12.41938402	0.4	8
AL021920.2	13.31824471	0.3	35.31
AL050303.1	13.31269438	0.83	15.75
AL079342.1	13.40400906	0.44	29.23
AL109659.1	13.51147481	0.3	32.56
AL117190.2	13.11998784	0.5	12.99
AL133481.1	13.03005671	0.28	21.74
AL137798.1	13.31824471	0.3	35.31
AL354808.2	12.83072405	0.48	20.77
AL355149.2	13.31824471	0.19	35.31
AL358813.2	13.31824471	0	35.31
AL359195.1	13.08728352	0.59	33.2
AL445989.1	13.66326839	0.69	25.59
AL590867.1	13.16349562	0.78	28.35
AL603965.1	12.82043416	0.38	24.33
ALAD	12.87437883	0.25	36
ALAS1	13.92412906	0.18	52
ALB	12.66280738	0.61	8
ALCAM	12.01398556	0.67	-3
ALDH16A1	14.59182955	0.25	44
ALDH18A1	12.81855463	0.45	26
ALDH1A1	12.7498842	0.51	1
ALDH1A2	12.14014115	0.57	-1
ALDH1A3	12.84411929	0.34	30.23
